Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
01/01/2022 12:00:00 AM,75+ Years,50.33869195,0.95,0.846
12/31/2021 12:00:00 AM,5 - 11 Years,68.88718327,0.248,0.158
12/31/2021 12:00:00 AM,12 - 17 Years,87.87674051,0.637,0.538
12/31/2021 12:00:00 AM,18 - 24 Years,146.9968659,0.725,0.592
12/31/2021 12:00:00 AM,25 - 39 Years,146.9248553,0.759,0.634
12/31/2021 12:00:00 AM,40 - 49 Years,120.9921704,0.835,0.716
12/31/2021 12:00:00 AM,50 - 64 Years,87.88961172,0.907,0.786
12/31/2021 12:00:00 AM,65 - 74 Years,50.54925238,0.95,0.901
12/31/2021 12:00:00 AM,75+ Years,48.27048759,0.95,0.846
12/30/2021 12:00:00 AM,5 - 11 Years,64.61142707,0.247,0.157
12/30/2021 12:00:00 AM,12 - 17 Years,83.22321639,0.637,0.537
12/30/2021 12:00:00 AM,18 - 24 Years,139.5522153,0.724,0.592
12/30/2021 12:00:00 AM,25 - 39 Years,139.705569,0.758,0.634
12/30/2021 12:00:00 AM,40 - 49 Years,113.6266933,0.835,0.716
12/30/2021 12:00:00 AM,50 - 64 Years,82.17062096,0.906,0.786
12/30/2021 12:00:00 AM,65 - 74 Years,47.19304431,0.95,0.901
12/30/2021 12:00:00 AM,75+ Years,44.85479551,0.95,0.846
12/29/2021 12:00:00 AM,5 - 11 Years,58.13250638,0.244,0.154
12/29/2021 12:00:00 AM,12 - 17 Years,76.35742667,0.636,0.537
12/29/2021 12:00:00 AM,18 - 24 Years,127.276673,0.723,0.591
12/29/2021 12:00:00 AM,25 - 39 Years,128.3152616,0.757,0.634
12/29/2021 12:00:00 AM,40 - 49 Years,102.5862724,0.834,0.716
12/29/2021 12:00:00 AM,50 - 64 Years,73.45830348,0.905,0.786
12/29/2021 12:00:00 AM,65 - 74 Years,41.85398868,0.95,0.901
12/29/2021 12:00:00 AM,75+ Years,39.55668692,0.95,0.846
12/28/2021 12:00:00 AM,5 - 11 Years,51.58779709,0.24,0.151
12/28/2021 12:00:00 AM,12 - 17 Years,68.54768366,0.634,0.536
12/28/2021 12:00:00 AM,18 - 24 Years,112.1803134,0.721,0.591
12/28/2021 12:00:00 AM,25 - 39 Years,114.3995443,0.756,0.633
12/28/2021 12:00:00 AM,40 - 49 Years,89.6382256,0.833,0.715
12/28/2021 12:00:00 AM,50 - 64 Years,63.5954225,0.904,0.785
12/28/2021 12:00:00 AM,65 - 74 Years,36.16544291,0.95,0.9
12/28/2021 12:00:00 AM,75+ Years,34.35042062,0.95,0.846
12/27/2021 12:00:00 AM,5 - 11 Years,47.55209392,0.236,0.148
12/27/2021 12:00:00 AM,12 - 17 Years,63.32253387,0.633,0.535
12/27/2021 12:00:00 AM,18 - 24 Years,99.90288012,0.719,0.59
