indicatorDataSource,indicatorId,indicatorName,regionId,regionLevel,regionName,date,value
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-03,85.0173283
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-04,84.807272
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-05,84.7418022
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-06,84.8194296
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-07,84.724325
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-08,84.4557481
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-09,84.3029743
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-10,84.1014519
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-11,83.928634
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-12,83.640774
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-13,83.3736108
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-14,83.0885788
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-15,82.7505684
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-16,82.1811377
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-17,81.6333874
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-18,80.9024664
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-19,80.2226956
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-20,79.1793835
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-21,78.2823792
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-22,77.1194626
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-23,76.0202375
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-24,74.9852048
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-25,73.878253
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-26,72.7803855
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-27,71.9272058
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-28,70.7811381
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-29,70.0205571
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-30,69.2323213
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-05-31,68.2241297
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-01,67.2004358
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-02,66.2956825
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-03,65.3326665
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-04,64.5576659
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-05,63.3883011
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-06,62.2147169
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-07,61.2985472
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-08,60.5440363
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-09,59.575954
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-10,58.6751837
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-11,57.7053317
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-12,57.0570107
