Date,pct_dose_1_cumulative,pct_dose_2_cumulative,pct_dose_3_cumulative,Admin_Dose_1_Cumulative,Series_Complete_Cumulative,Booster_Cumulative,pop_total,total_dose_1,total_dose_2,total_dose_3,pct_1st_dose_18a,pct_2nd_dose_18a,age_pct,rel_dose1_age18,rel_dose2_age18,pct_dose_1,pct_dose_2,pct_dose_3
2021-08-10,0.535,0.5429999999999999,0,198067370,170124287,0,333239062,0.5943702062155006,0.5105172424233987,0,0.561,0.461,0.09086016494337025,0.9438561928802307,0.9030057394568244,0,0,0
2021-08-11,0.535,0.5429999999999999,0,198565503,170415060,0,333239062,0.5958650279720209,0.5113898081972155,0,0.564,0.463,0.09086016494337025,0.9465230774149122,0.9053758846547952,0,0,0
2021-08-12,0.54,0.545,0,199078994,170723189,0,333239062,0.5974059367625996,0.5123144567007574,0,0.566,0.464,0.09086016494337025,0.9474294866689953,0.9056937471335543,0.0050000000000000044,0.002000000000000113,0
2021-08-13,0.542,0.546,5.476763117775672e-5,199659616,171106320,13352,333239062,0.5991482955260509,0.513464174857148,4.0067331602319775e-5,0.568,0.466,0.09086016494337025,0.9480123773051832,0.9075608831514816,0.0020000000000000018,0.0010000000000000009,5.476763117775672e-5
2021-08-14,0.545,0.5479999999999999,2.0068612365210645e-4,200022153,171345088,48926,333239062,0.6002362142046841,0.5141806814952564,1.4681952261646924e-4,0.57,0.467,0.09086016494337025,0.9496261413604521,0.9082410460111935,0.0030000000000000027,0.0019999999999998908,1.4591849247434975e-4
2021-08-15,0.547,0.55,3.3386433284019856e-4,200234073,171504271,81394,333239062,0.6008721540573776,0.5146583655910063,2.442510776242672e-4,0.571,0.467,0.09086016494337025,0.9502853413065216,0.9073980551423119,0.0020000000000000018,0.002000000000000113,1.331782091880921e-4
2021-08-16,0.5479999999999999,0.55,6.567972893256396e-4,200699205,171852754,160123,333239062,0.6022679448065426,0.5157041103422624,4.805048935109534e-4,0.573,0.469,0.09086016494337025,0.9514037812257401,0.9094362263056894,9.999999999998899e-4,0,3.2293295648544104e-4
2021-08-17,0.5489999999999999,0.551,0.0010590268190531712,201190046,172210766,258184,333239062,0.6037408843744735,0.5167784501806094,7.747711161184339e-4,0.575,0.47,0.09086016494337025,0.9523953319738293,0.9094806484978992,0.0010000000000000009,0.0010000000000000009,4.0222952972753163e-4
2021-08-18,0.551,0.552,0.0015294943889449602,201677900,172583519,372881,333239062,0.6052048604073913,0.5178970255293781,0.0011189594573999852,0.577,0.472,0.09086016494337025,0.953396176646028,0.9113780862470419,0.002000000000000113,0.0010000000000000009,4.7046756989178895e-4
2021-08-19,0.5529999999999999,0.5539999999999999,0.001990593379626893,202159248,172958730,485294,333239062,0.6066493129187838,0.5190229769642072,0.0014562938602918046,0.58,0.473,0.09086016494337025,0.956071304539083,0.9113276694735212,0.0019999999999998908,0.0019999999999998908,4.610989906819328e-4
2021-08-20,0.555,0.555,0.002480142661639632,202698746,173429229,604643,333239062,0.6082682647810358,0.5204348732682484,0.001814442149642109,0.582,0.475,0.09086016494337025,0.9568146715816386,0.9126982537067037,0.002000000000000113,0.001000000000000112,4.895492820127388e-4
2021-08-21,0.557,0.556,0.0027273435349588863,203020988,173721317,664909,333239062,0.609235264262027,0.5213113851580821,0.0019952912963126755,0.583,0.476,0.09086016494337025,0.9569373839615044,0.9130819190830795,0.0020000000000000018,0.0010000000000000009,2.472008733192545e-4
2021-08-22,0.5579999999999999,0.557,0.0028541064823763064,203205419,173897581,695813,333239062,0.6097887137853005,0.5218403267501696,0.0020880295239817954,0.584,0.477,0.09086016494337025,0.9577087715756241,0.9140727068193086,9.999999999998899e-4,0.0010000000000000009,1.2676294741742e-4
2021-08-23,0.5589999999999999,0.5579999999999999,0.003243886958731722,203648500,174295847,790839,333239062,0.6111183328201782,0.5230354627513626,0.002373188170839348,0.586,0.479,0.09086016494337025,0.958897759286221,0.9158078832365982,0.0010000000000000009,9.999999999998899e-4,3.897804763554158e-4
2021-08-24,0.56,0.5589999999999999,0.003647589045349069,204111171,174702727,889259,333239062,0.6125067384807367,0.5242564480631026,0.002668531698123673,0.588,0.48,0.09086016494337025,0.9599894385790378,0.9155824439992856,0.001000000000000112,0.0010000000000000009,4.037020866173467e-4
2021-08-25,0.561,0.561,0.0040621650827043,204581656,175117154,990330,333239062,0.6139185927728965,0.5255000807798457,0.002971830475264031,0.59,0.482,0.09086016494337025,0.9610394715936799,0.9172215526298468,0.0010000000000000009,0.002000000000000113,4.145760373552316e-4
2021-08-26,0.563,0.562,0.004507685323894538,205059061,175541743,1098945,333239062,0.6153512129379358,0.5267742081208955,0.0032977676548615422,0.593,0.484,0.09086016494337025,0.9636773074173006,0.9187997296346773,0.0019999999999998908,0.0010000000000000009,4.455202411902375e-4
2021-08-27,0.564,0.563,0.005014577142202929,205595323,176070744,1222522,333239062,0.6169604540538528,0.5283616600745323,0.003668603532439423,0.595,0.486,0.09086016494337025,0.9644054105744418,0.9198245003837775,0.0010000000000000009,9.999999999998899e-4,5.068918183083913e-4
2021-08-28,0.5660000000000001,0.5660000000000001,0.005272012080814912,205915626,176405400,1285283,333239062,0.6179216348892496,0.5293659120910621,0.0038569397965716274,0.597,0.487,0.09086016494337025,0.9661419285100782,0.91996856782162,0.002000000000000113,0.0030000000000001137,2.5743493861198237e-4
2021-08-29,0.568,0.5670000000000001,0.005415190550998463,206110136,176607496,1320189,333239062,0.6185053299663891,0.5299723716063035,0.003961687420666189,0.597,0.488,0.09086016494337025,0.965230162256552,0.9208027175471645,0.0019999999999998908,0.0010000000000000009,1.431784701835517e-4
2021-08-30,0.568,0.568,0.0058159434220064025,206528534,177030039,1417890,333239062,0.6197608790532486,0.5312403592109499,0.004254873337748142,0.6,0.49,0.09086016494337025,0.9681153171793684,0.9223696797581341,0,9.999999999998899e-4,4.0075287100793926e-4
