"start_date","end_date","loc","exposure_mean","stdev"
2020-05-31,2020-08-09,"GA",0.0857205202147451,0.00520558566092494
2020-06-01,2020-08-10,"GA",0.0861466583463803,0.00522568725896397
2020-06-02,2020-08-11,"GA",0.0866396656137746,0.00521990778414335
2020-06-03,2020-08-12,"GA",0.087240801039951,0.00526676155403097
2020-06-04,2020-08-13,"GA",0.0877142392650269,0.00530901217217339
2020-06-05,2020-08-14,"GA",0.0881788438588158,0.00533088103036459
2020-06-06,2020-08-15,"GA",0.088655904422382,0.00534730076719615
2020-06-07,2020-08-16,"GA",0.0890295959198386,0.00536629158864982
2020-06-08,2020-08-17,"GA",0.0894560379481914,0.00539592000403656
2020-06-09,2020-08-18,"GA",0.0897476431145298,0.00544753635775792
2020-06-10,2020-08-19,"GA",0.0899453418404824,0.00547143389940689
2020-06-11,2020-08-20,"GA",0.0899176661417747,0.00548256683122428
2020-06-12,2020-08-21,"GA",0.0896863341792071,0.00550382632903333
2020-06-13,2020-08-22,"GA",0.0895040787015832,0.00552286808822613
2020-06-14,2020-08-23,"GA",0.0892378636322581,0.00552263886522654
2020-06-15,2020-08-24,"GA",0.0888276769890396,0.00551200295191436
2020-06-16,2020-08-25,"GA",0.0884917674844451,0.0055147356572827
2020-06-17,2020-08-26,"GA",0.0882925152459311,0.00548303663869371
2020-06-18,2020-08-27,"GA",0.0877777826973645,0.0054740909946424
2020-06-19,2020-08-28,"GA",0.0873128779365765,0.00544835480951536
2020-06-20,2020-08-29,"GA",0.0865311112027843,0.00543088308561613
2020-06-21,2020-08-30,"GA",0.0855104143820963,0.00538924006949786
2020-06-22,2020-08-31,"GA",0.0841019486649444,0.00529073789963925
2020-06-23,2020-09-01,"GA",0.0825051454105201,0.0051614874217916
2020-06-24,2020-09-02,"GA",0.0809444841182272,0.00504105832330575
2020-06-25,2020-09-03,"GA",0.0795300799921035,0.00489334871567395
2020-06-26,2020-09-04,"GA",0.078399638094856,0.0047616399522867
2020-06-27,2020-09-05,"GA",0.0774710897456002,0.00462602115713336
2020-06-28,2020-09-06,"GA",0.0766432471231484,0.00453453237214978
2020-06-29,2020-09-07,"GA",0.0758834495055909,0.00444769085036375
2020-06-30,2020-09-08,"GA",0.0753521199164807,0.00437969449010416
2020-07-01,2020-09-09,"GA",0.0744962641593916,0.00430530016352669
2020-07-02,2020-09-10,"GA",0.0735633217683801,0.00422657551664045
2020-07-03,2020-09-11,"GA",0.0727057996464867,0.00416917824930197
2020-07-04,2020-09-12,"GA",0.0717937168463572,0.00413939100254575
2020-07-05,2020-09-13,"GA",0.0709935312834386,0.0041109456772424
2020-07-06,2020-09-14,"GA",0.0700658558578668,0.00405976808936221
2020-07-07,2020-09-15,"GA",0.0690558779847049,0.00399110388083784
2020-07-08,2020-09-16,"GA",0.0683530145026717,0.00395807332857016
2020-07-09,2020-09-17,"GA",0.0674824351351547,0.00390086100134987
2020-07-10,2020-09-18,"GA",0.0666141447128931,0.0038664381866112
2020-07-11,2020-09-19,"GA",0.065583000422984,0.00385130957751289
2020-07-12,2020-09-20,"GA",0.0644333517464643,0.0038463870602922
2020-07-13,2020-09-21,"GA",0.0633067956697214,0.00381913295063469
2020-07-14,2020-09-22,"GA",0.0622413884423744,0.00379033614579144
2020-07-15,2020-09-23,"GA",0.0611333992627025,0.00372792055549563
2020-07-16,2020-09-24,"GA",0.0599262702917647,0.0036628145623349
2020-07-17,2020-09-25,"GA",0.0587516094065387,0.00359398797581483
2020-07-18,2020-09-26,"GA",0.0576022059213427,0.00350990775298073
2020-07-19,2020-09-27,"GA",0.0566154839267495,0.00343998512732025
2020-07-20,2020-09-28,"GA",0.0557456357912838,0.00339526103996962
2020-07-21,2020-09-29,"GA",0.0547990233411629,0.00332723418215825
2020-07-22,2020-09-30,"GA",0.0539575174126528,0.00324007839872456
2020-07-23,2020-10-01,"GA",0.053280488400999,0.003187324049313
2020-07-24,2020-10-02,"GA",0.0524343687634937,0.00311148232576559
2020-07-25,2020-10-03,"GA",0.0517573615838797,0.00302030429864375
2020-07-26,2020-10-04,"GA",0.0511315676600621,0.00293015064329794
2020-07-27,2020-10-05,"GA",0.0504220284997593,0.00287257172283757
2020-07-28,2020-10-06,"GA",0.0496717599647297,0.00284859109644426
2020-07-29,2020-10-07,"GA",0.0488905477628611,0.00279900685707099
2020-07-30,2020-10-08,"GA",0.048053375004462,0.00275533413426645
2020-07-31,2020-10-09,"GA",0.0472870584792562,0.00271884663647353
2020-08-01,2020-10-10,"GA",0.0466301196344913,0.00267201121910861
2020-08-02,2020-10-11,"GA",0.0461041717938524,0.00264928061759994
2020-08-03,2020-10-12,"GA",0.0457512738072129,0.00265343074850092
2020-08-04,2020-10-13,"GA",0.0455058524559114,0.00264734625254122
2020-08-05,2020-10-14,"GA",0.0452968327248523,0.00262349068656785
2020-08-06,2020-10-15,"GA",0.0451818660893515,0.00257796384990085
2020-08-07,2020-10-16,"GA",0.0450443973928513,0.00252262834951603
2020-08-08,2020-10-17,"GA",0.0447733161050473,0.00250653831294756
2020-08-09,2020-10-18,"GA",0.0444952669023359,0.00251219566664895
2020-08-10,2020-10-19,"GA",0.0442638817724414,0.00249914769274555
2020-08-11,2020-10-20,"GA",0.0439529003883523,0.00250736719089873
2020-08-12,2020-10-21,"GA",0.0435325289761932,0.00247477564540849
2020-08-13,2020-10-22,"GA",0.0432787851157479,0.00244556365866823
2020-08-14,2020-10-23,"GA",0.0430702203350097,0.0024000811735581
2020-08-15,2020-10-24,"GA",0.0429378248563705,0.00241025924379884
2020-08-16,2020-10-25,"GA",0.0430330482264858,0.00241653292549738
2020-08-17,2020-10-26,"GA",0.0430307731734904,0.00241041739481695
2020-08-18,2020-10-27,"GA",0.0431503253473088,0.00239400091727019
2020-08-19,2020-10-28,"GA",0.04334018428954,0.00240549799775213
2020-08-20,2020-10-29,"GA",0.0438022908101147,0.00242052083267233
2020-08-21,2020-10-30,"GA",0.0442206244208223,0.00243290906506238
2020-08-22,2020-10-31,"GA",0.044580375294457,0.00244404411435524
2020-08-23,2020-11-01,"GA",0.0449875787561633,0.0024686575562866
2020-08-24,2020-11-02,"GA",0.0455186543759253,0.00249400474472983
2020-08-25,2020-11-03,"GA",0.0459780001512608,0.00250777219082918
2020-08-26,2020-11-04,"GA",0.0464227632260672,0.00255023872394944
