date,pop_age,pop_age_frac,cases,infections,infections_lo,infections_hi,infections_pct,infections_lo_pct,infections_hi_pct
2020-02-25,41752736.147934906,2034309.7957506827,0.012424629860081365,2.9503549680953602,1.3570376332756702,7.209957816802209,1.4502977738484746e-6,6.670752095429537e-7,3.5441788816347193e-6
2020-02-26,41752736.147934906,2034309.7957506827,0.029409975715949478,6.556055587377257,2.9604047096374084,16.127247776879457,3.2227419840732763e-6,1.4552378973060917e-6,7.927626269394395e-6
2020-02-27,41752736.147934906,2034309.7957506827,0.034314982942638704,7.118584359282018,3.1604296317722747,17.58702910279109,3.499262685630033e-6,1.553563591137328e-6,8.645206909747629e-6
2020-02-28,41752736.147934906,2034309.7957506827,0.03271004175750736,6.270356204222171,2.7442773077110756,15.513999017295903,3.0823015340730544e-6,1.3489967523350627e-6,7.626173284768099e-6
2020-02-29,41752736.147934906,2034309.7957506827,0.03938428627964573,6.940927273743819,3.0058398121861933,17.140433226850366,3.411932286932011e-6,1.477572304112612e-6,8.425675018944378e-6
2020-03-01,41752736.147934906,2034309.7957506827,0.07425894140631263,11.99582986761298,5.164587875847743,29.4588879613013,5.896756675246892e-6,2.538742076863447e-6,1.4481023501354496e-5
2020-03-02,41752736.147934906,2034309.7957506827,0.09838300447981428,14.555679286763871,6.263245475336402,35.413922081318226,7.155094724101579e-6,3.0788061328806583e-6,1.7408323036782162e-5
2020-03-03,41752736.147934906,2034309.7957506827,0.13626368920505252,18.486408634100158,7.9934933383541775,44.400797036618826,9.087312400852138e-6,3.929339255530887e-6,2.1825976126824107e-5
2020-03-04,41752736.147934906,2034309.7957506827,0.19972549402783232,24.920454364918672,10.882966239635852,58.89714863034299,1.2250078339578929e-5,5.349709401374591e-6,2.8951907302107493e-5
2020-03-05,41752736.147934906,2034309.7957506827,0.2673955007803141,30.817353287176495,13.650460235977523,71.4788194364534,1.5148800517771952e-5,6.710118716672823e-6,3.513664417571019e-5
