date,age_group.x,cases,age_class,age_group.y,clinical_fraction,cases_adj,pop,age_pct,incid_per100K,mean_incid_per100K,incid_OR
2020-07-23,70 - 79 Years,2305,70,a70-79,0.69,3340.579710144928,24136000,0.07256786701102529,13.840651765598807,37.8413432573548,0.3657547691018805
2020-07-23,80+ Years,1629,80,a80+,0.69,2360.8695652173915,12205000,0.0366958409375855,19.343462230376005,37.8413432573548,0.5111727165397711
2020-07-24,0 - 9 Years,1829,00,a00-09,0.29,6306.896551724139,39888000,0.11992820182862847,15.811513617439175,37.72458535156611,0.4191302162790444
2020-07-24,10 - 19 Years,4561,10,a10-19,0.21,21719.04761904762,43455000,0.1306528281804816,49.98054911758743,37.72458535156611,1.324880012644394
2020-07-24,20 - 29 Years,8907,20,a20-29,0.27,32988.88888888888,44501000,0.13379775645747582,74.13066872404863,37.72458535156611,1.9650492651729343
2020-07-24,30 - 39 Years,7425,30,a30-39,0.33,22500,45194000,0.13588134660657428,49.78536973934593,37.72458535156611,1.3197062148034748
2020-07-24,40 - 49 Years,6983,40,a40-49,0.4,17457.5,41153000,0.1237315806722209,42.4209656647146,37.72458535156611,1.1244912374617664
2020-07-24,50 - 59 Years,6171,50,a50-59,0.49,12593.877551020409,43033000,0.12938403302475354,29.265627660215202,37.72458535156611,0.775770691380184
2020-07-24,60 - 69 Years,4092,60,a60-69,0.63,6495.238095238095,39034000,0.1173605452812546,16.6399500313524,37.72458535156611,0.4410903360840148
2020-07-24,70 - 79 Years,2230,70,a70-79,0.69,3231.884057971015,24136000,0.07256786701102529,13.390305178865656,37.72458535156611,0.35494903533273076
2020-07-24,80+ Years,1503,80,a80+,0.69,2178.2608695652175,12205000,0.0366958409375855,17.847282831341396,37.72458535156611,0.4730942080613346
2020-07-25,0 - 9 Years,1465,00,a00-09,0.29,5051.724137931034,39888000,0.11992820182862847,12.664771705603275,30.786340308671686,0.41137633049667643
2020-07-25,10 - 19 Years,3801,10,a10-19,0.21,18100,43455000,0.1306528281804816,41.65228397192498,30.786340308671686,1.3529469093860647
2020-07-25,20 - 29 Years,7266,20,a20-29,0.27,26911.11111111111,44501000,0.13379775645747582,60.47304804636101,30.786340308671686,1.9642818029048867
2020-07-25,30 - 39 Years,6166,30,a30-39,0.33,18684.848484848484,45194000,0.13588134660657428,41.34364845963731,30.786340308671686,1.3429218297827985
2020-07-25,40 - 49 Years,5545,40,a40-49,0.4,13862.5,41153000,0.1237315806722209,33.685272033630596,30.786340308671686,1.0941629208244137
2020-07-25,50 - 59 Years,5150,50,a50-59,0.49,10510.204081632653,43033000,0.12938403302475354,24.423591387150914,30.786340308671686,0.7933255834332295
2020-07-25,60 - 69 Years,3250,60,a60-69,0.63,5158.730158730159,39034000,0.1173605452812546,13.215991593816055,30.786340308671686,0.4292810207809424
2020-07-25,70 - 79 Years,1716,70,a70-79,0.69,2486.9565217391305,24136000,0.07256786701102529,10.303929904454469,30.786340308671686,0.33469161326564456
2020-07-25,80+ Years,1124,80,a80+,0.69,1628.985507246377,12205000,0.0366958409375855,13.346870194562694,30.786340308671686,0.4335322113880239
2020-07-26,0 - 9 Years,1185,00,a00-09,0.29,4086.2068965517246,39888000,0.11992820182862847,10.244201004191046,25.69881064622623,0.3986254906973824
2020-07-26,10 - 19 Years,3230,10,a10-19,0.21,15380.952380952382,43455000,0.1306528281804816,35.39512686906543,25.69881064622623,1.3773060300852118
2020-07-26,20 - 29 Years,6158,20,a20-29,0.27,22807.407407407405,44501000,0.13379775645747582,51.251449197562756,25.69881064622623,1.9943121066222895
2020-07-26,30 - 39 Years,4983,30,a30-39,0.33,15100,45194000,0.13588134660657428,33.411514802849936,25.69881064622623,1.3001191091213509
2020-07-26,40 - 49 Years,4663,40,a40-49,0.4,11657.5,41153000,0.1237315806722209,28.327217942798825,25.69881064622623,1.102277390683781
2020-07-26,50 - 59 Years,4150,50,a50-59,0.49,8469.387755102041,43033000,0.12938403302475354,19.68114645760705,25.69881064622623,0.7658388058708525
2020-07-26,60 - 69 Years,2720,60,a60-69,0.63,4317.460317460317,39034000,0.1173605452812546,11.06076834928605,25.69881064622623,0.4304000096171875
2020-07-26,70 - 79 Years,1554,70,a70-79,0.69,2252.1739130434785,24136000,0.07256786701102529,9.331181277110865,25.69881064622623,0.36309778711417184
2020-07-26,80+ Years,968,80,a80+,0.69,1402.8985507246377,12205000,0.0366958409375855,11.494457605281752,25.69881064622623,0.44727585893044697
2020-07-27,0 - 9 Years,1951,00,a00-09,0.29,6727.5862068965525,39888000,0.11992820182862847,16.866190851625934,40.216924763249196,0.419380421325464
2020-07-27,10 - 19 Years,4977,10,a10-19,0.21,23700,43455000,0.1306528281804816,54.53917846047636,40.216924763249196,1.356125033963687
2020-07-27,20 - 29 Years,9727,20,a20-29,0.27,36025.92592592593,44501000,0.13379775645747582,80.95531769157081,40.216924763249196,2.0129663858721725
2020-07-27,30 - 39 Years,7882,30,a30-39,0.33,23884.848484848484,45194000,0.13588134660657428,52.84960057717503,40.216924763249196,1.3141134208618
2020-07-27,40 - 49 Years,7072,40,a40-49,0.4,17680,41153000,0.1237315806722209,42.96163098680534,40.216924763249196,1.0682475410468055
2020-07-27,50 - 59 Years,6351,50,a50-59,0.49,12961.224489795919,43033000,0.12938403302475354,30.119267747533097,40.216924763249196,0.7489202102060404
2020-07-27,60 - 69 Years,4339,60,a60-69,0.63,6887.3015873015875,39034000,0.1173605452812546,17.644365392482417,40.216924763249196,0.4387298505878324
2020-07-27,70 - 79 Years,2389,70,a70-79,0.69,3462.3188405797105,24136000,0.07256786701102529,14.345039942739934,40.216924763249196,0.35669161745178085
2020-07-27,80+ Years,1678,80,a80+,0.69,2431.8840579710145,12205000,0.0366958409375855,19.92530977444502,40.216924763249196,0.49544588234287507
