date,pop_age,pop_age_frac,infections,infections_lo,infections_hi,infections_pct,infections_lo_pct,infections_hi_pct
2020-12-03,44084236.445759006,2061013.2595846215,6286.672362968668,3991.3876989957253,10438.279597057926,0.003050282347157577,0.0019366142747670402,0.005064634857886196
2020-12-04,44084236.445759006,2061013.2595846215,6209.971646568846,3943.205303229536,10309.127525952948,0.003013067294783154,0.0019132362612864768,0.005001970500680165
2020-12-05,44084236.445759006,2061013.2595846215,6337.595548182782,4025.0486154974346,10518.04745519172,0.003074990186846283,0.0019529464921097337,0.005103338082022595
2020-12-06,44084236.445759006,2061013.2595846215,6509.942227502235,4134.710173900669,10800.99038084979,0.003158612491806217,0.0020061540869145025,0.005240621490725698
2020-12-07,44084236.445759006,2061013.2595846215,6561.145825339444,4167.70996821977,10882.394014519412,0.0031834563872052833,0.002022165528939748,0.005280118390268222
2020-12-08,44084236.445759006,2061013.2595846215,6655.834945324368,4228.696652990025,11036.70998355683,0.003229399381285781,0.0020517561608712214,0.005354992226387315
2020-12-09,44084236.445759006,2061013.2595846215,6771.519227449128,4303.195804918379,11225.126623919456,0.003285529191022219,0.002087903018045429,0.0054464116481141795
2020-12-10,44084236.445759006,2061013.2595846215,6689.368780776012,4252.308652478792,11085.83923041291,0.0032456699391270258,0.0020632126613953986,0.005378829650347403
2020-12-11,44084236.445759006,2061013.2595846215,6698.412205389829,4259.604953196397,11095.494182236242,0.0032500577928061625,0.0020667528136402587,0.005383514215950478
2020-12-12,44084236.445759006,2061013.2595846215,6854.007931841142,4360.5182241911525,11347.072447892127,0.003325552564966275,0.0021157157548175967,0.005505579546916174
2020-12-13,44084236.445759006,2061013.2595846215,6909.622082280728,4397.87608145737,11433.914658468968,0.003352536452712245,0.0021338417213015515,0.005547715234385911
2020-12-14,44084236.445759006,2061013.2595846215,6894.984568257641,4390.999446462045,11403.627896409684,0.003345434356714067,0.002130505190125274,0.005533020150830074
2020-12-15,44084236.445759006,2061013.2595846215,7115.878998568255,4534.073060504874,11761.975011076707,0.0034526119448656024,0.002199924255421178,0.005706889539103318
2020-12-16,44084236.445759006,2061013.2595846215,7233.22363981759,4611.898770452816,11949.537378568883,0.0035095473579220835,0.0022376851526817944,0.005797894469139516
2020-12-17,44084236.445759006,2061013.2595846215,7320.950642556018,4670.698089976599,12087.361110615107,0.0035521123449887403,0.002266214478851987,0.0058647663009461694
2020-12-18,44084236.445759006,2061013.2595846215,7305.8193847422435,4664.2728027718085,12054.987870199633,0.0035447706853737877,0.0022630969408279546,0.005849058861770354
2020-12-19,44084236.445759006,2061013.2595846215,7363.495840375532,4703.636564842163,12138.917671126588,0.0035727551999639134,0.0022821961687864824,0.0058897814532125215
2020-12-20,44084236.445759006,2061013.2595846215,7472.996522533359,4777.301304788853,12310.025442409087,0.0036258847378980346,0.0023179381707382485,0.005972802642177111
2020-12-21,44084236.445759006,2061013.2595846215,7574.846303731451,4846.399571549699,12467.2260426033,0.0036753020721749714,0.0023514645279509006,0.006049076096247899
2020-12-22,44084236.445759006,2061013.2595846215,8007.892000535454,5127.6737815907245,13168.074166675447,0.0038854150808080544,0.002487938278778546,0.0063891263704578755
2020-12-23,44084236.445759006,2061013.2595846215,7876.947763289094,5047.894050185911,12941.043952093094,0.0038218811677497994,0.002449229293751981,0.006278971710595032
2020-12-24,44084236.445759006,2061013.2595846215,7920.666908404931,5080.574136015893,13002.372516834113,0.0038430936198834884,0.0024650856137819494,0.006308728222085589
2020-12-25,44084236.445759006,2061013.2595846215,7958.694117961575,5109.5913583702695,13053.758745408939,0.0038615443549186953,0.002479164718911154,0.00633366072959657
2020-12-26,44084236.445759006,2061013.2595846215,8377.738336596665,5383.664303343568,13727.547296944162,0.00406486387102872,0.002612144428623713,0.006660581746917448
2020-12-27,44084236.445759006,2061013.2595846215,8742.813726930679,5623.713656578253,14311.689608081548,0.00424199780679369,0.0027286159516080265,0.006944006566442925
2020-12-28,44084236.445759006,2061013.2595846215,8930.277890984757,5750.060793666315,14605.49258747023,0.004332955088694856,0.0027899193597741272,0.007086559254069929
2020-12-29,44084236.445759006,2061013.2595846215,9156.83115980499,5901.498534891566,14961.069951945266,0.004442878335314769,0.002863396684833051,0.0072590847644330705
2020-12-30,44084236.445759006,2061013.2595846215,9116.463535127608,5881.105580131464,14880.317708974568,0.004423292034989115,0.0028535020591360714,0.0072199039185092675
2020-12-31,44084236.445759006,2061013.2595846215,9047.13010481945,5842.641651786304,14753.13269490084,0.004389651576837897,0.0028348394289146083,0.007158193973906893
2021-01-01,44084236.445759006,2061013.2595846215,9011.162652939112,5825.710310926035,14679.739768152238,0.004372200232595898,0.002826624372179029,0.0071225838552396335
2021-01-02,44084236.445759006,2061013.2595846215,9331.024494642108,6038.651226803114,15186.605967245257,0.004527396634276235,0.0029299429291493977,0.0073685144414383725
2021-01-03,44084236.445759006,2061013.2595846215,9738.09720251521,6308.305547853359,15833.37168027886,0.004724907594470224,0.003060778730324491,0.00768232402515932
2021-01-04,44084236.445759006,2061013.2595846215,9595.79026175417,6222.279349317794,15587.574440306862,0.004655860517699005,0.003019038970458559,0.007563063637663542
2021-01-05,44084236.445759006,2061013.2595846215,9736.832474855986,6319.731563013294,15801.541983097766,0.0047242939508396736,0.0030663226127361155,0.007666880312202563
2021-01-06,44084236.445759006,2061013.2595846215,9744.150864724326,6330.422536297149,15798.763669686094,0.004727844820701528,0.0030715098541253386,0.007665532279433365
2021-01-07,44084236.445759006,2061013.2595846215,9460.654471681093,6151.545404818688,15324.047094111856,0.004590292870598902,0.0029847189852909906,0.007435200633886401
2021-01-08,44084236.445759006,2061013.2595846215,9346.675794654147,6082.869651990254,15126.007655901893,0.004534990617448956,0.002951397631093456,0.007339112247608927
2021-01-09,44084236.445759006,2061013.2595846215,9150.32774330491,5959.862885521011,14797.123544453678,0.004439722889094403,0.0028917149648625584,0.007179538256554402
2021-01-10,44084236.445759006,2061013.2595846215,8969.145487854144,5845.971097350543,14491.956402794864,0.004351813578172609,0.00283645487003259,0.007031471697428859
2021-01-11,44084236.445759006,2061013.2595846215,8836.637294442158,5763.772573362476,14267.800198353727,0.004287520836340035,0.002796572291108943,0.006922711502219676
2021-01-12,44084236.445759006,2061013.2595846215,8969.535163710494,5854.424448875379,14472.724393071796,0.004352002648211115,0.0028405564212892476,0.007022140360217111
2021-01-13,44084236.445759006,2061013.2595846215,8583.851514334992,5606.327669787143,13841.884677999644,0.004164869621491416,0.0027201803014683407,0.006716058042629648
2021-01-14,44084236.445759006,2061013.2595846215,8380.316221746001,5476.421041932523,13505.274179235243,0.004066114656358386,0.0026571498346576604,0.00655273522207087
2021-01-15,44084236.445759006,2061013.2595846215,8147.183100130173,5327.225066057737,13121.882296185415,0.003952998876762279,0.0025847602101945677,0.006366714156332022
2021-01-16,44084236.445759006,2061013.2595846215,7873.583812923774,5150.512891902803,12673.917451711723,0.0038202489849631645,0.002499019774836792,0.006149362403551948
2021-01-17,44084236.445759006,2061013.2595846215,7821.840413588643,5118.750903480288,12585.161899340785,0.0037951431788289724,0.0024836089140503276,0.006106298366016922
2021-01-18,44084236.445759006,2061013.2595846215,7587.722820804721,4967.18952669051,12205.11208881077,0.0036815497355577216,0.0024100716012334642,0.00592189886797264
2021-01-19,44084236.445759006,2061013.2595846215,7564.128238963428,4953.247322804784,12163.954080833118,0.0036701016860453918,0.0024033068684881074,0.005901929075063133
2021-01-20,44084236.445759006,2061013.2595846215,7424.7401277110475,4862.443878117237,11937.050276666852,0.0036024708202059,0.0023592491972114814,0.005791835749311315
2021-01-21,44084236.445759006,2061013.2595846215,7119.1567431530375,4662.6524177392885,11444.334548847302,0.0034542023007595006,0.0022623107328669026,0.005552770946827292
2021-01-22,44084236.445759006,2061013.2595846215,6791.469625892256,4447.909993728187,10917.01380662207,0.003295209089174426,0.002158118087325951,0.005296915852362005
2021-01-23,44084236.445759006,2061013.2595846215,6670.157539096,4367.991097057864,10722.582651848075,0.0032363486785331546,0.0021193415795579076,0.005202578198846287
2021-01-24,44084236.445759006,2061013.2595846215,6637.014733885897,4345.502725289324,10670.164856274896,0.0032202678478757225,0.002108430261222638,0.005177145176846349
2021-01-25,44084236.445759006,2061013.2595846215,6467.557718556411,4233.197294482648,10399.874888905166,0.003138047602789265,0.002053939864188846,0.005046000961197681
2021-01-26,44084236.445759006,2061013.2595846215,6756.810074119188,4420.799649516899,10867.483458763456,0.003278392335758656,0.0021449641961099617,0.005272883814902626
2021-01-27,44084236.445759006,2061013.2595846215,6255.920354780659,4091.0102844427724,10065.256442803708,0.0030353615270003083,0.001984950977592099,0.0048836446810789896
2021-01-28,44084236.445759006,2061013.2595846215,6023.117173466123,3936.713266148321,9693.843619158542,0.002922405833856706,0.0019100863363400824,0.0047034358338442946
2021-01-29,44084236.445759006,2061013.2595846215,6248.3578145558495,4081.644643634548,10060.118044677267,0.0030316921958159306,0.0019804067851835008,0.004881151539366997
2021-01-30,44084236.445759006,2061013.2595846215,5697.778810087248,3719.8211647967046,9177.48651396464,0.0027645522335142973,0.0018048506711433776,0.004452900276737802
2021-01-31,44084236.445759006,2061013.2595846215,5579.12161543679,3639.7166925525416,8991.194322645775,0.0027069799718616133,0.0017659841224340756,0.004362511633941583
2021-02-01,44084236.445759006,2061013.2595846215,5465.918456556685,3563.332662392622,8813.638789287961,0.002652053998749281,0.0017289227256649378,0.004276362002185405
2021-02-02,44084236.445759006,2061013.2595846215,5338.410861169982,3477.4598312981816,8613.653713056356,0.0025901875382625585,0.0016872573794110533,0.004179329595769976
