date,cases.fitted,cum.incidence,infections,infections.lo,infections.hi,pop,pct_inf,pct_inf_lo,pct_inf_hi
2020-07-29,137.47643202931906,35071.15245948245,442.73735982077926,NA,NA,415759,0.0010648894186795217,NA,NA
2020-07-30,133.22063307792126,35505.181917766844,434.02945828439243,NA,NA,415759,0.0010439448292986861,NA,NA
2020-07-31,128.78347123304746,35930.84456044847,425.6626426816317,NA,NA,415759,0.0010238206333035044,NA,NA
2020-08-01,124.25059285367978,36348.57159478109,417.7270343326169,NA,NA,415759,0.0010047335940595798,NA,NA
2020-08-02,119.70291414540053,36758.876691359685,410.3050965785975,NA,NA,415759,9.86882055658681e-4,NA,NA
2020-08-03,115.21520972975145,37162.34944893923,403.4727575795463,NA,NA,415759,9.704486435159462e-4,NA,NA
2020-08-04,110.85530602011399,37559.650118485224,397.30066954598936,NA,NA,415759,9.556032931241161e-4,NA,NA
2020-08-05,106.68374685856541,37951.50431986003,391.8542013748051,NA,NA,415759,9.425032323408636e-4,NA,NA
2020-08-06,102.75386764482317,38338.69057955987,387.18625969984305,NA,NA,415759,9.31275714295645e-4,NA,NA
2020-08-07,99.11222768148514,38722.026512045675,383.33593248579956,NA,NA,415759,9.220147549080105e-4,NA,NA
2020-08-08,95.79933949423805,39102.356937974335,380.3304259286601,NA,NA,415759,9.147857915971996e-4,NA,NA
2020-08-09,92.85063445871309,39480.5435629472,378.18662497286533,NA,NA,415759,9.096294366997836e-4,NA,NA
2020-08-10,90.29762231642366,39857.45529705805,376.9117341108475,NA,NA,415759,9.065630187460703e-4,NA,NA
2020-08-11,88.16921758742085,40233.95484931966,376.49955226161427,NA,NA,415759,9.055716226506564e-4,NA,NA
2020-08-12,86.49320399106882,40610.88330151838,376.92845219871344,NA,NA,415759,9.066032297526054e-4,NA,NA
2020-08-13,85.29779594542057,40989.044331746125,378.1610302277452,NA,NA,415759,9.09567875205937e-4,NA,NA
2020-08-14,84.61324918570722,41369.187486651375,380.14315490524973,NA,NA,415759,9.143353599206505e-4,NA,NA
2020-08-15,84.47346655742555,41751.990332453934,382.8028458025566,NA,NA,415759,9.20732553721162e-4,NA,NA
2020-08-16,84.91516086246097,42138.04345503195,386.05312257801756,NA,NA,415759,9.28550248047589e-4,NA,NA
2020-08-17,85.97042422342443,42527.836616997905,389.79316196595835,NA,NA,415759,9.375459387913631e-4,NA,NA
2020-08-18,87.65917883846618,42921.742939314805,393.906322316902,NA,NA,415759,9.474390748411989e-4,NA,NA
2020-08-19,89.98779498850195,43320.00112078178,398.258181466975,NA,NA,415759,9.5790633868894e-4,NA,NA
2020-08-20,92.95126527865216,43722.6965145509,402.69539376912456,NA,NA,415759,9.685788973158117e-4,NA,NA
2020-08-21,96.53517379306189,44129.751544439,407.0550298880958,NA,NA,415759,9.790648666369117e-4,NA,NA
2020-08-22,100.71604907725435,44540.92521214164,411.17366770264215,NA,NA,415759,9.889711772989693e-4,NA,NA
2020-08-23,105.46024962808075,44955.81391245785,414.88870031621195,NA,NA,415759,9.97906720759411e-4,NA,NA
2020-08-24,110.72205824919521,45373.8538613926,418.0399489347506,NA,NA,415759,0.0010054862286438793,NA,NA
2020-08-25,116.4416759470877,45794.325880796256,420.4720194036591,NA,NA,415759,0.0010113359407821817,NA,NA
2020-08-26,122.54365107483383,46216.368851568644,422.04297077238635,NA,NA,415759,0.0010151144551828976,NA,NA
2020-08-27,128.93612484534106,46639.00282255693,422.6339709882905,NA,NA,415759,0.0010165359522903666,NA,NA
2020-08-28,135.5111618216859,47061.155320813414,422.15249825648084,NA,NA,415759,0.0010153778950220702,NA,NA
2020-08-29,142.1463266561368,47481.68999803758,420.534677224165,NA,NA,415759,0.0010114866478516762,NA,NA
2020-08-30,148.70752715476584,47899.43686613338,417.7468680957953,NA,NA,415759,0.0010047812990116758,NA,NA
2020-08-31,155.05297952504472,48313.22276431999,413.78589818660777,NA,NA,415759,9.952542174351193e-4,NA,NA
2020-09-01,161.03800379045327,48721.900914110825,408.678149790836,NA,NA,415759,9.829688588601474e-4,NA,NA
