date,pop_age,pop_age_frac,cases,infections,infections_lo,infections_hi,infections_pct,infections_lo_pct,infections_hi_pct
2021-03-14,44084236.445759006,2061013.2595846215,554.5946317289288,2329.252587637004,1481.472029679513,3828.2938909499476,0.0011301492490671525,7.188076169767536e-4,0.0018574814466363527
2021-03-15,44084236.445759006,2061013.2595846215,563.5650771337515,2348.196158462964,1493.3200792332407,3859.6260756144775,0.001139340636234539,7.245562697322024e-4,0.0018726837673971831
2021-03-16,44084236.445759006,2061013.2595846215,553.5686198721705,2288.866298872933,1455.4493915207524,3762.1813996611686,0.0011105538929595403,7.06181478819833e-4,0.0018254037824188486
2021-03-17,44084236.445759006,2061013.2595846215,548.1804297904195,2249.599218101376,1430.3922907170838,3697.6030912367555,0.001091501574596741,6.940238176853682e-4,0.0017940705010223825
2021-03-18,44084236.445759006,2061013.2595846215,540.9392445510854,2203.463462618481,1401.0158173850384,3621.6403061932024,0.001069116587373421,6.797704046151554e-4,0.0017572134916410537
2021-03-19,44084236.445759006,2061013.2595846215,527.6392241323116,2133.424753555892,1356.4825981922756,3506.3132316048245,0.001035133929213956,6.581629651745484e-4,0.0017012569983715145
2021-03-20,44084236.445759006,2061013.2595846215,530.7930145998426,2130.2380600014135,1354.4905211212738,3500.7906461536663,0.001033587751119439,6.571964128917147e-4,0.0016985774496468882
2021-03-21,44084236.445759006,2061013.2595846215,551.2229358407477,2195.601977035836,1396.1185177777616,3607.84634395604,0.00106530220842846,6.77394243479606e-4,0.0017505206854822315
2021-03-22,44084236.445759006,2061013.2595846215,566.0107020494894,2237.252913559967,1422.699578907011,3675.8587946713187,0.0010855111693996889,6.902913274773124e-4,0.0017835202066638594
2021-03-23,44084236.445759006,2061013.2595846215,578.4118663131644,2268.393174534762,1442.6241396682478,3726.5365225898886,0.0011006203691246196,6.999586892318178e-4,0.0018081089509055066
2021-03-24,44084236.445759006,2061013.2595846215,595.7153705328044,2317.5506619766948,1474.0317360133504,3806.7529174421115,0.001124471495367175,7.151975996071118e-4,0.0018470298042669207
2021-03-25,44084236.445759006,2061013.2595846215,566.0408256428767,2184.1248368149195,1389.3206038037931,3587.05055607649,0.0010597335202273807,6.740959076041063e-4,0.0017404306058658872
2021-03-26,44084236.445759006,2061013.2595846215,581.8496467379065,2226.559927725403,1416.4792307765554,3656.1693084232393,0.00108032295152441,6.87273225530841e-4,0.0017739669026487035
2021-03-27,44084236.445759006,2061013.2595846215,581.7467962396889,2207.6059325685137,1404.5922122288046,3624.4633409006906,0.0010711265064900343,6.815056650881943e-4,0.0017585832231041387
2021-03-28,44084236.445759006,2061013.2595846215,613.5516621771003,2308.785479485549,1469.1493312749244,3789.9673358366454,0.00112021864427542,7.128286654356693e-4,0.0018388854696647992
2021-03-29,44084236.445759006,2061013.2595846215,613.8788967283276,2290.527837771228,1457.7097489450784,3759.393285387884,0.0011113600687037127,7.072782002571234e-4,0.001824050994288875
2021-03-30,44084236.445759006,2061013.2595846215,633.2332133128476,2342.666237772552,1491.0671076772553,3844.3647522808324,0.0011366575284647586,7.234631319052098e-4,0.0018652790002212935
2021-03-31,44084236.445759006,2061013.2595846215,642.809956891572,2357.933108609259,1500.950596257893,3868.836799195293,0.0011440649872793535,7.282585831400212e-4,0.0018771527942401604
2021-04-01,44084236.445759006,2061013.2595846215,627.4943819290821,2282.5064107455464,1453.083765944861,3744.5493538837954,0.001107468086452566,7.0503368146099e-4,0.0018168487448928278
2021-04-02,44084236.445759006,2061013.2595846215,619.6448435026589,2235.6157983548687,1423.357502977069,3667.145820722957,0.0010847168439883966,6.906105510761895e-4,0.0017792926870650201
2021-04-03,44084236.445759006,2061013.2595846215,607.9997647289969,2176.4801378963407,1385.8081548551995,3569.7263165758723,0.0010560243257896314,6.723916735666691e-4,0.0017320249154026879
2021-04-04,44084236.445759006,2061013.2595846215,617.2480240173011,2193.155036994326,1396.5023995871477,3596.709745762744,0.0010641149574342557,6.775805022567395e-4,0.001745117227672581
2021-04-05,44084236.445759006,2061013.2595846215,624.7034633102447,2203.9318281091405,1403.4140629811884,3614.0784614648533,0.0010693438374837641,6.809340291503189e-4,0.0017535444979103326
2021-04-06,44084236.445759006,2061013.2595846215,635.4996296270905,2227.1088537649216,1418.1913607580375,3651.847063367696,0.0010805892894710319,6.881039479793842e-4,0.0017718697569678386
2021-04-07,44084236.445759006,2061013.2595846215,638.5731172393528,2224.3024539963426,1416.3887130991066,3647.084690282262,0.0010792276292509785,6.872293065133248e-4,0.0017695590619428128
2021-04-08,44084236.445759006,2061013.2595846215,624.4156337228883,2163.4586858596126,1377.5934839554457,3547.2467948685403,0.0010497063402181304,6.684059297285098e-4,0.0017211178911015136
2021-04-09,44084236.445759006,2061013.2595846215,619.8116413711327,2138.187630434373,1361.413162086912,3505.8235905828096,0.0010374448686784798,6.605552660836799e-4,0.0017010194254108663
2021-04-10,44084236.445759006,2061013.2595846215,613.1796011228162,2108.484578788664,1342.3730544843224,3457.223708297316,0.0010230330003862323,6.51317039442466e-4,0.001677438848207162
2021-04-11,44084236.445759006,2061013.2595846215,609.6950098716304,2092.1216504282356,1331.7865910327273,3430.5901027364866,0.0010150937363934687,6.461805060396054e-4,0.0016645162697438885
2021-04-12,44084236.445759006,2061013.2595846215,619.6353879508093,2124.009608043207,1351.868960836376,3483.1798610022975,0.00103056571721003,6.559244364632729e-4,0.0016900327277391222
2021-04-13,44084236.445759006,2061013.2595846215,633.514988279901,2171.3894605869364,1381.7552255456633,3561.294950362052,0.0010535543381339333,6.704251994109652e-4,0.001727934031380176
2021-04-14,44084236.445759006,2061013.2595846215,620.4582270830052,2128.5996690872553,1354.2142890112373,3491.631785855345,0.00103279280673636,6.570623855589201e-4,0.0016941335867771425
2021-04-15,44084236.445759006,2061013.2595846215,596.6036572034168,2050.857630837347,1304.4104868181917,3364.7068727028495,9.950725068361176e-4,6.32897668538573e-4,0.0016325498426831935
2021-04-16,44084236.445759006,2061013.2595846215,573.8605455960198,1978.915866197254,1258.2807380485217,3247.3484496852525,9.601664894655197e-4,6.105155957619199e-4,0.0015756077427370486
2021-04-17,44084236.445759006,2061013.2595846215,560.1394266308088,1939.9667949619097,1233.112674193669,3184.1813141710413,9.412684687690425e-4,5.983040955506475e-4,0.0015449591599487255
2021-04-18,44084236.445759006,2061013.2595846215,566.1051558176374,1971.2628990095027,1252.5606305796887,3236.395603386962,9.564532832781449e-4,6.077402097025474e-4,0.0015702934410229017
2021-04-19,44084236.445759006,2061013.2595846215,562.3734053492257,1970.790476937239,1251.7816389753332,3236.5495373095323,9.56224064921559e-4,6.073622443494703e-4,0.0015703681294907484
